TIME_STAMP,SystemID,Avg_VAVDamper_CMD,Avg_RHValve_CMD,Avg_ZoneTemp,Avg_ZoneTemp_SP,Su_Fan_CMD,OAT,RAT,MAT,OA_Damper_CMD,Cool_Valve_CMD,DAT_SP,DAT,DA_Static_SP,Su_Fan_speedCMD,DA_Static_P,Heat_Valve_CMD,Re_Fan_CMD,Re_Fan_Speed_CMD,Su_Fan_Speed_CMD2,Chilled_Water_DP,Cool_stg3,Cool_stg4,Cool_stg1,Cool_stg2,VAVID,VAVDamper_CMD1152,RHValve_CMD1152,ZoneCFM1152,ZoneCFM_SP1152,ZoneTemp1152,ZoneTemp_SP1152,VAV_DAT1152,VAVID,VAVDamper_CMD1153,RHValve_CMD1153,ZoneCFM1153,ZoneCFM_SP1153,ZoneTemp1153,ZoneTemp_SP1153,VAV_DAT1153,VAVID,VAVDamper_CMD1158,RHValve_CMD1158,ZoneCFM1158,ZoneCFM_SP1158,ZoneTemp1158,ZoneTemp_SP1158,VAV_DAT1158,VAVID,VAVDamper_CMD1169,RHValve_CMD1169,ZoneCFM1169,ZoneCFM_SP1169,ZoneTemp1169,ZoneTemp_SP1169,VAV_DAT1169,VAVID,VAVDamper_CMD1170,RHValve_CMD1170,ZoneCFM1170,ZoneCFM_SP1170,ZoneTemp1170,ZoneTemp_SP1170,VAV_DAT1170,VAVID,VAVDamper_CMD1172,RHValve_CMD1172,ZoneCFM1172,ZoneCFM_SP1172,ZoneTemp1172,ZoneTemp_SP1172,VAV_DAT1172,VAVID,VAVDamper_CMD1179,RHValve_CMD1179,ZoneCFM1179,ZoneCFM_SP1179,ZoneTemp1179,ZoneTemp_SP1179,VAV_DAT1179,VAVID,VAVDamper_CMD1180,RHValve_CMD1180,ZoneCFM1180,ZoneCFM_SP1180,ZoneTemp1180,ZoneTemp_SP1180,VAV_DAT1180,VAVID,VAVDamper_CMD1181,RHValve_CMD1181,ZoneCFM1181,ZoneCFM_SP1181,ZoneTemp1181,ZoneTemp_SP1181,VAV_DAT1181,VAVID,VAVDamper_CMD1185,RHValve_CMD1185,ZoneCFM1185,ZoneCFM_SP1185,ZoneTemp1185,ZoneTemp_SP1185,VAV_DAT1185,VAVID,VAVDamper_CMD1186,RHValve_CMD1186,ZoneCFM1186,ZoneCFM_SP1186,ZoneTemp1186,ZoneTemp_SP1186,VAV_DAT1186,VAVID,VAVDamper_CMD1187,RHValve_CMD1187,ZoneCFM1187,ZoneCFM_SP1187,ZoneTemp1187,ZoneTemp_SP1187,VAV_DAT1187,VAVID,VAVDamper_CMD1190,RHValve_CMD1190,ZoneCFM1190,ZoneCFM_SP1190,ZoneTemp1190,ZoneTemp_SP1190,VAV_DAT1190,VAVID,VAVDamper_CMD1197,RHValve_CMD1197,ZoneCFM1197,ZoneCFM_SP1197,ZoneTemp1197,ZoneTemp_SP1197,VAV_DAT1197,VAVID,VAVDamper_CMD2169,RHValve_CMD2169,ZoneCFM2169,ZoneCFM_SP2169,ZoneTemp2169,ZoneTemp_SP2169,VAV_DAT2169,VAVID,VAVDamper_CMD2170,RHValve_CMD2170,ZoneCFM2170,ZoneCFM_SP2170,ZoneTemp2170,ZoneTemp_SP2170,VAV_DAT2170,VAVID,VAVDamper_CMD2172,RHValve_CMD2172,ZoneCFM2172,ZoneCFM_SP2172,ZoneTemp2172,ZoneTemp_SP2172,VAV_DAT2172,VAVID,VAVDamper_CMD2175,RHValve_CMD2175,ZoneCFM2175,ZoneCFM_SP2175,ZoneTemp2175,ZoneTemp_SP2175,VAV_DAT2175,VAVID,VAVDamper_CMD2177,RHValve_CMD2177,ZoneCFM2177,ZoneCFM_SP2177,ZoneTemp2177,ZoneTemp_SP2177,VAV_DAT2177,VAVID,VAVDamper_CMD2185,RHValve_CMD2185,ZoneCFM2185,ZoneCFM_SP2185,ZoneTemp2185,ZoneTemp_SP2185,VAV_DAT2185,VAVID,VAVDamper_CMD2186,RHValve_CMD2186,ZoneCFM2186,ZoneCFM_SP2186,ZoneTemp2186,ZoneTemp_SP2186,VAV_DAT2186,VAVID,VAVDamper_CMD2189,RHValve_CMD2189,ZoneCFM2189,ZoneCFM_SP2189,ZoneTemp2189,ZoneTemp_SP2189,VAV_DAT2189,VAVID,VAVDamper_CMD2190,RHValve_CMD2190,ZoneCFM2190,ZoneCFM_SP2190,ZoneTemp2190,ZoneTemp_SP2190,VAV_DAT2190,VAVID,VAVDamper_CMD2197,RHValve_CMD2197,ZoneCFM2197,ZoneCFM_SP2197,ZoneTemp2197,ZoneTemp_SP2197,VAV_DAT2197,VAVID,VAVDamper_CMD11801,RHValve_CMD11801,ZoneCFM11801,ZoneCFM_SP11801,ZoneTemp11801,ZoneTemp_SP11801,VAV_DAT11801
2014-07-20 00:01:00,8.00,,,74.85,71.99,0.00,77.77,75.74,74.70,0.00,0.00,46.43,61.84,1.50,0.00,0.04,0.00,0.00,20.00,0.00,34.74,,,,,1152.00,100.00,0.00,264.42,700.00,78.72,70.72,,1153.00,100.00,0.00,22.92,225.54,73.74,72.00,,1158.00,100.00,0.00,22.13,450.00,74.79,70.00,,1169.00,100.00,0.00,0.00,340.00,70.56,72.00,,1170.00,100.00,0.00,11.71,290.00,72.34,70.15,,1172.00,100.00,0.00,109.50,340.00,70.98,72.00,,1179.00,100.00,0.00,0.00,170.00,69.84,72.00,,1180.00,100.00,0.00,0.00,260.00,75.28,76.06,,1181.00,100.00,0.00,90.04,300.00,74.00,76.47,,1185.00,100.00,0.00,74.92,220.00,74.87,73.00,,1186.00,100.00,0.00,38.01,260.00,72.00,70.00,,1187.00,100.00,0.00,40.78,260.00,74.98,72.00,,1190.00,100.00,100.00,28.15,425.00,72.34,75.21,,1197.00,100.00,0.00,34.00,270.00,72.71,72.00,,2169.00,100.00,0.00,57.23,340.00,77.66,72.00,,2170.00,100.00,0.00,21.32,350.00,79.25,70.54,,2172.00,100.00,0.00,76.30,340.00,77.82,70.00,,2175.00,100.00,0.00,50.23,300.00,76.38,70.00,,2177.00,100.00,0.00,28.85,180.00,77.14,73.00,,2185.00,100.00,0.00,7.38,220.00,79.67,69.00,,2186.00,100.00,0.00,21.08,260.00,76.57,72.00,,2189.00,100.00,0.00,21.77,260.00,75.85,71.00,,2190.00,100.00,0.00,0.00,250.00,76.57,75.00,,2197.00,100.00,0.00,39.03,270.00,76.46,72.00,,11801.00,100.00,100.00,22.62,260.00,75.28,78.56,
2014-07-20 00:02:00,8.00,,,74.85,71.99,0.00,77.77,75.74,74.70,0.00,0.00,46.43,61.84,1.50,0.00,0.04,0.00,0.00,20.00,0.00,34.74,,,,,1152.00,100.00,0.00,264.42,700.00,78.72,70.72,,1153.00,100.00,0.00,32.41,230.85,73.85,72.00,,1158.00,100.00,0.00,28.57,450.00,74.91,70.00,,1169.00,100.00,0.00,0.00,340.00,70.56,72.00,,1170.00,100.00,0.00,11.71,290.00,72.34,70.15,,1172.00,100.00,0.00,109.50,340.00,70.98,72.00,,1179.00,100.00,0.00,0.00,170.00,69.92,72.00,,1180.00,100.00,0.00,68.53,260.00,75.28,76.06,,1181.00,100.00,0.00,91.19,300.00,74.07,76.47,,1185.00,100.00,0.00,74.92,220.00,74.87,73.00,,1186.00,100.00,0.00,65.84,260.00,72.03,70.00,,1187.00,100.00,0.00,45.60,260.00,75.06,72.00,,1190.00,100.00,100.00,27.26,425.00,72.34,75.21,,1197.00,100.00,0.00,34.00,270.00,72.71,72.00,,2169.00,100.00,0.00,57.23,340.00,77.66,72.00,,2170.00,100.00,0.00,21.32,350.00,79.25,70.54,,2172.00,100.00,0.00,76.30,340.00,77.82,70.00,,2175.00,100.00,0.00,76.72,300.00,76.46,70.00,,2177.00,100.00,0.00,28.85,180.00,77.14,73.00,,2185.00,100.00,0.00,7.38,220.00,79.67,69.00,,2186.00,100.00,0.00,21.08,260.00,76.57,72.00,,2189.00,100.00,0.00,21.77,260.00,75.85,71.00,,2190.00,100.00,0.00,0.00,250.00,76.57,75.00,,2197.00,100.00,0.00,39.03,270.00,76.46,72.00,,11801.00,100.00,100.00,38.07,260.00,75.28,78.56,
2014-07-20 00:03:00,8.00,,,74.85,71.99,0.00,77.77,75.74,74.70,0.00,0.00,46.43,61.84,1.50,0.00,0.04,0.00,0.00,20.00,0.00,34.74,,,,,1152.00,100.00,0.00,174.67,300.00,78.95,70.72,,1153.00,100.00,0.00,32.41,230.85,73.85,72.00,,1158.00,100.00,0.00,28.57,450.00,74.91,70.00,,1169.00,100.00,0.00,10.90,340.00,70.64,72.00,,1170.00,100.00,0.00,19.60,290.00,72.34,70.15,,1172.00,100.00,0.00,109.50,340.00,71.05,72.00,,1179.00,100.00,0.00,0.00,170.00,69.92,72.00,,1180.00,100.00,0.00,68.53,260.00,75.28,76.06,,1181.00,100.00,0.00,91.19,300.00,74.07,76.47,,1185.00,100.00,0.00,92.33,220.00,74.98,73.00,,1186.00,100.00,0.00,65.84,260.00,72.03,70.00,,1187.00,100.00,0.00,45.60,260.00,75.06,72.00,,1190.00,100.00,100.00,27.26,425.00,72.34,75.21,,1197.00,100.00,0.00,55.52,270.00,72.79,72.00,,2169.00,100.00,0.00,72.12,340.00,77.66,72.00,,2170.00,100.00,0.00,30.15,350.00,79.25,70.54,,2172.00,100.00,0.00,86.51,340.00,77.82,70.00,,2175.00,100.00,0.00,76.72,300.00,76.46,70.00,,2177.00,100.00,0.00,40.23,180.00,77.14,73.00,,2185.00,100.00,0.00,36.16,220.00,79.63,69.00,,2186.00,100.00,0.00,38.49,260.00,76.57,72.00,,2189.00,100.00,0.00,38.74,260.00,75.85,71.00,,2190.00,100.00,0.00,11.27,250.00,76.72,75.00,,2197.00,100.00,0.00,46.91,270.00,76.46,72.00,,11801.00,100.00,100.00,38.07,260.00,75.28,78.56,
2014-07-20 00:04:00,8.00,,,74.98,71.99,1.00,77.46,75.74,74.70,5.00,74.21,46.27,60.57,1.50,31.68,0.05,0.00,1.00,20.00,31.68,20.19,,,,,1152.00,100.00,0.00,174.67,300.00,78.95,70.72,,1153.00,100.00,0.00,104.80,0.00,73.85,72.00,,1158.00,100.00,0.00,28.57,450.00,74.91,70.00,,1169.00,100.00,0.00,10.90,340.00,70.64,72.00,,1170.00,100.00,0.00,19.60,290.00,72.34,70.15,,1172.00,100.00,0.00,109.50,340.00,71.05,72.00,,1179.00,100.00,0.00,137.00,170.00,69.92,72.00,,1180.00,100.00,0.00,249.98,0.00,75.28,76.06,,1181.00,100.00,0.00,194.52,300.00,74.07,76.47,,1185.00,100.00,0.00,92.33,220.00,74.98,73.00,,1186.00,100.00,0.00,194.35,0.00,72.03,70.00,,1187.00,100.00,0.00,45.60,260.00,75.06,72.00,,1190.00,100.00,100.00,27.26,425.00,72.34,75.21,,1197.00,100.00,0.00,55.52,270.00,72.79,72.00,,2169.00,100.00,0.00,72.12,340.00,77.66,72.00,,2170.00,100.00,0.00,30.15,350.00,79.25,70.54,,2172.00,100.00,0.00,86.51,340.00,77.82,70.00,,2175.00,100.00,0.00,76.72,300.00,76.46,70.00,,2177.00,100.00,0.00,40.23,180.00,77.14,73.00,,2185.00,100.00,0.00,36.16,220.00,79.63,69.00,,2186.00,100.00,0.00,38.49,260.00,76.57,72.00,,2189.00,100.00,0.00,38.74,260.00,75.85,71.00,,2190.00,100.00,0.00,11.27,250.00,76.72,75.00,,2197.00,100.00,0.00,46.91,270.00,76.46,72.00,,11801.00,100.00,0.00,123.88,0.00,75.28,78.56,
2014-07-20 00:05:00,8.00,,,74.98,71.99,1.00,77.46,75.74,74.70,5.00,74.21,46.27,60.57,1.50,31.68,0.05,0.00,1.00,20.00,31.68,20.19,,,,,1152.00,0.00,0.00,601.92,0.00,78.80,70.72,,1153.00,100.00,0.00,104.80,0.00,73.85,72.00,,1158.00,100.00,0.00,77.71,450.00,74.98,70.00,,1169.00,100.00,0.00,148.65,340.00,70.56,72.00,,1170.00,100.00,0.00,61.31,290.00,72.34,70.15,,1172.00,100.00,0.00,238.65,340.00,70.98,72.00,,1179.00,100.00,0.00,137.00,170.00,69.92,72.00,,1180.00,100.00,0.00,249.98,0.00,75.28,76.06,,1181.00,100.00,0.00,194.52,300.00,74.07,76.47,,1185.00,100.00,0.00,196.12,220.00,74.91,73.00,,1186.00,100.00,0.00,194.35,0.00,72.03,70.00,,1187.00,100.00,0.00,195.05,260.00,75.13,72.00,,1190.00,100.00,0.00,92.85,0.00,72.41,75.21,,1197.00,100.00,0.00,185.70,270.00,72.79,72.00,,2169.00,100.00,0.00,231.84,340.00,77.66,72.00,,2170.00,100.00,0.00,114.24,350.00,79.18,70.54,,2172.00,0.00,0.00,319.50,0.00,77.89,70.00,,2175.00,95.83,0.00,400.76,300.00,76.46,70.00,,2177.00,100.00,0.00,181.57,180.00,77.21,73.00,,2185.00,100.00,0.00,208.51,220.00,79.63,69.00,,2186.00,0.00,0.00,193.01,0.00,76.57,72.00,,2189.00,0.00,0.00,226.08,0.00,76.00,71.00,,2190.00,100.00,0.00,11.27,250.00,76.72,75.00,,2197.00,0.00,0.00,213.60,0.00,76.46,72.00,,11801.00,100.00,0.00,123.88,0.00,75.28,78.56,
2014-07-20 00:06:00,8.00,,,74.98,71.99,1.00,77.46,76.57,75.03,5.00,90.46,46.27,51.69,1.50,75.73,0.14,0.00,1.00,20.00,75.73,19.63,,,,,1152.00,0.00,0.00,601.92,0.00,78.80,70.72,,1153.00,100.00,0.00,104.80,0.00,73.85,72.00,,1158.00,100.00,0.00,77.71,450.00,74.98,70.00,,1169.00,100.00,0.00,148.65,340.00,70.56,72.00,,1170.00,100.00,0.00,61.31,290.00,72.34,70.15,,1172.00,100.00,0.00,238.65,340.00,70.98,72.00,,1179.00,100.00,0.00,137.00,170.00,69.92,72.00,,1180.00,0.00,0.00,134.39,0.00,75.28,76.06,,1181.00,100.00,0.00,194.52,300.00,74.07,76.47,,1185.00,100.00,0.00,196.12,220.00,74.91,73.00,,1186.00,100.00,0.00,194.35,0.00,72.03,70.00,,1187.00,100.00,0.00,195.05,260.00,75.13,72.00,,1190.00,100.00,0.00,92.85,0.00,72.41,75.21,,1197.00,100.00,0.00,185.70,270.00,72.79,72.00,,2169.00,100.00,0.00,231.84,340.00,77.66,72.00,,2170.00,100.00,0.00,114.24,350.00,79.18,70.54,,2172.00,0.00,0.00,319.50,0.00,77.89,70.00,,2175.00,95.83,0.00,400.76,300.00,76.46,70.00,,2177.00,100.00,0.00,181.57,180.00,77.21,73.00,,2185.00,100.00,0.00,208.51,220.00,79.63,69.00,,2186.00,0.00,0.00,193.01,0.00,76.57,72.00,,2189.00,0.00,0.00,226.08,0.00,76.00,71.00,,2190.00,100.00,0.00,84.84,250.00,76.72,75.00,,2197.00,0.00,0.00,213.60,0.00,76.46,72.00,,11801.00,100.00,0.00,123.88,0.00,75.28,78.56,
2014-07-20 00:07:00,8.00,,,74.98,71.99,1.00,77.46,76.57,75.03,5.00,90.46,46.27,51.69,1.50,75.73,0.14,0.00,1.00,20.00,75.73,19.63,,,,,1152.00,0.00,0.00,192.01,0.00,78.87,70.72,,1153.00,0.00,0.00,40.78,0.00,73.59,72.00,,1158.00,0.00,0.00,275.92,0.00,74.79,70.00,,1169.00,100.00,0.00,148.65,340.00,70.56,72.00,,1170.00,0.00,0.00,171.06,0.00,72.41,70.15,,1172.00,100.00,0.00,238.65,340.00,70.98,72.00,,1179.00,0.00,0.00,354.86,0.00,69.84,72.00,,1180.00,0.00,0.00,134.39,0.00,75.28,76.06,,1181.00,0.00,0.00,501.76,0.00,74.23,76.47,,1185.00,0.00,0.00,153.95,0.00,74.91,73.00,,1186.00,0.00,0.00,96.38,0.00,72.11,70.00,,1187.00,0.00,0.00,129.77,0.00,75.06,72.00,,1190.00,0.00,0.00,32.25,0.00,72.49,75.21,,1197.00,0.00,0.00,106.61,0.00,72.87,72.00,,2169.00,0.00,0.00,218.14,0.00,77.89,72.00,,2170.00,100.00,0.00,114.24,350.00,79.18,70.54,,2172.00,0.00,0.00,319.50,0.00,77.89,70.00,,2175.00,0.00,0.00,91.70,0.00,76.53,70.00,,2177.00,100.00,0.00,181.57,180.00,77.21,73.00,,2185.00,100.00,0.00,208.51,220.00,79.63,69.00,,2186.00,0.00,0.00,24.34,0.00,76.72,72.00,,2189.00,0.00,0.00,226.08,0.00,76.00,71.00,,2190.00,100.00,0.00,84.84,250.00,76.72,75.00,,2197.00,0.00,0.00,48.68,0.00,76.57,72.00,,11801.00,0.00,0.00,13.06,0.00,75.28,78.56,
2014-07-20 00:08:00,8.00,,,75.05,71.99,1.00,77.17,76.57,75.11,5.00,100.00,46.18,52.38,1.50,65.71,1.61,0.00,1.00,20.00,65.71,18.68,,,,,1152.00,0.00,0.00,192.01,0.00,78.87,70.72,,1153.00,0.00,0.00,40.78,0.00,73.59,72.00,,1158.00,0.00,0.00,275.92,0.00,74.79,70.00,,1169.00,0.00,0.00,223.37,0.00,70.71,72.00,,1170.00,0.00,0.00,171.06,0.00,72.41,70.15,,1172.00,0.00,0.00,366.26,0.00,71.05,72.00,,1179.00,0.00,0.00,354.86,0.00,69.84,72.00,,1180.00,0.00,0.00,134.39,0.00,75.28,76.06,,1181.00,0.00,0.00,501.76,0.00,74.23,76.47,,1185.00,0.00,0.00,153.95,0.00,74.91,73.00,,1186.00,0.00,0.00,96.38,0.00,72.11,70.00,,1187.00,0.00,0.00,129.77,0.00,75.06,72.00,,1190.00,0.00,0.00,32.25,0.00,72.49,75.21,,1197.00,0.00,0.00,106.61,0.00,72.87,72.00,,2169.00,0.00,0.00,218.14,0.00,77.89,72.00,,2170.00,0.00,0.00,102.90,0.00,79.25,70.54,,2172.00,0.00,0.00,115.35,0.00,77.89,70.00,,2175.00,0.00,0.00,91.70,0.00,76.53,70.00,,2177.00,0.00,0.00,49.97,0.00,77.29,73.00,,2185.00,0.00,0.00,54.24,0.00,79.63,69.00,,2186.00,0.00,0.00,24.34,0.00,76.72,72.00,,2189.00,0.00,0.00,37.71,0.00,76.00,71.00,,2190.00,0.00,0.00,26.03,0.00,76.87,75.00,,2197.00,0.00,0.00,48.68,0.00,76.57,72.00,,11801.00,0.00,0.00,13.06,0.00,75.28,78.56,
2014-07-20 00:09:00,8.00,,,75.05,71.99,1.00,77.17,76.57,75.11,5.00,100.00,46.18,52.38,1.50,65.71,1.61,0.00,1.00,20.00,65.71,18.68,,,,,1152.00,0.00,0.00,192.01,0.00,78.87,70.72,,1153.00,0.00,0.00,27.27,0.00,73.59,72.00,,1158.00,0.00,0.00,22.13,0.00,74.57,70.00,,1169.00,0.00,0.00,223.37,0.00,70.71,72.00,,1170.00,0.00,0.00,6.42,0.00,72.41,70.15,,1172.00,0.00,0.00,366.26,0.00,71.05,72.00,,1179.00,0.00,0.00,0.00,0.00,69.92,72.00,,1180.00,0.00,0.00,0.00,0.00,75.36,76.06,,1181.00,0.00,0.00,73.52,0.00,74.30,76.47,,1185.00,0.00,0.00,153.95,0.00,74.91,73.00,,1186.00,0.00,0.00,47.65,0.00,72.11,70.00,,1187.00,0.00,0.00,32.24,0.00,75.06,72.00,,1190.00,0.00,0.00,24.38,0.00,72.56,75.21,,1197.00,0.00,0.00,106.61,0.00,72.87,72.00,,2169.00,0.00,0.00,218.14,0.00,77.89,72.00,,2170.00,0.00,0.00,102.90,0.00,79.25,70.54,,2172.00,0.00,0.00,115.35,0.00,77.89,70.00,,2175.00,0.00,0.00,76.72,0.00,76.57,70.00,,2177.00,0.00,0.00,49.97,0.00,77.29,73.00,,2185.00,0.00,0.00,54.24,0.00,79.63,69.00,,2186.00,0.00,0.00,24.34,0.00,76.72,72.00,,2189.00,0.00,0.00,37.71,0.00,76.00,71.00,,2190.00,0.00,0.00,26.03,0.00,76.87,75.00,,2197.00,0.00,0.00,48.68,0.00,76.57,72.00,,11801.00,0.00,0.00,0.00,0.00,75.21,78.56,
2014-07-20 00:10:00,8.00,,,75.05,71.99,1.00,77.17,76.30,75.07,5.00,100.00,46.18,53.41,1.50,62.32,1.54,0.00,1.00,20.00,62.32,18.68,,,,,1152.00,0.00,0.00,181.81,0.00,78.87,70.72,,1153.00,0.00,0.00,27.27,0.00,73.59,72.00,,1158.00,0.00,0.00,22.13,0.00,74.57,70.00,,1169.00,0.00,0.00,0.00,0.00,70.71,72.00,,1170.00,0.00,0.00,6.42,0.00,72.41,70.15,,1172.00,0.00,0.00,82.13,0.00,71.05,72.00,,1179.00,0.00,0.00,0.00,0.00,69.92,72.00,,1180.00,0.00,0.00,0.00,0.00,75.36,76.06,,1181.00,0.00,0.00,73.52,0.00,74.30,76.47,,1185.00,0.00,0.00,90.05,0.00,74.98,73.00,,1186.00,0.00,0.00,47.65,0.00,72.11,70.00,,1187.00,0.00,0.00,32.24,0.00,75.06,72.00,,1190.00,0.00